models
"[[16, 1, 1, 2, 0.05, 32, 0.05, 0.001], [], []]"
"[[16, 8, 1, 2, 0.05, 128, 0.1, 0.0001], [], []]"
"[[16, 7, 1, 2, 0.1, 256, 0.05, 0.01], [], []]"
"[[32, 3, 1, 2, 0.05, 256, 0.05, 0.001], [], []]"
"[[64, 8, 1, 2, 0.05, 512, 0.05, 0.0001], [], []]"
"[[256, 5, 1, 2, 0.05, 128, 0.05, 0.0001], [], []]"
"[[16, 7, 4, 1, 0.05, 256, 0.05, 0.001], [32, 4, 2, 1, 0.25], [64, 3, 1, 1, 0.25]]"
