total_time,call_back_time,test_acc,test_loss
1476.5385081768036,"[107.88062644004822, 103.1410300731659, 104.88114500045776, 109.96665096282959, 101.47776508331299, 98.14411187171936, 105.57099843025208, 110.23486280441284, 107.10988402366638, 103.49833226203918, 108.05328702926636, 107.96288013458252, 102.93475651741028, 102.94059228897095]",0.7774903178215027,0.6727763414382935
938.236643075943,"[102.29578375816345, 107.05195999145508, 105.11067914962769, 104.01258707046509, 102.90339779853821, 106.61329078674316, 104.23352003097534, 103.40748643875122, 101.93534970283508]",0.7818024754524231,0.6618979573249817
748.9807751178741,"[109.40740823745728, 104.4112606048584, 105.37614440917969, 106.65641450881958, 107.50319766998291, 109.99956440925598, 104.97762084007263]",0.7774903178215027,0.70158851146698
2686.987524986267,"[105.23722124099731, 106.35023808479309, 111.96884179115295, 108.39980506896973, 104.40662288665771, 110.34821462631226, 109.55568432807922, 107.06972980499268, 107.54277992248535, 105.90872716903687, 108.45115852355957, 107.8132073879242, 106.01881694793701, 106.60579252243042, 108.49792766571045, 108.65957808494568, 107.63452792167664, 107.6194429397583, 105.93515825271606, 107.77849388122559, 106.98871970176697, 106.88196921348572, 107.16048073768616, 106.875253200531, 106.49121570587158]",0.7833117842674255,0.589280366897583
2637.7202847003937,"[110.32225275039673, 100.19619059562683, 105.04645228385925, 105.08704900741577, 105.32106709480286, 101.82450342178345, 105.78398561477661, 102.93517136573792, 107.82350397109985, 106.71238470077515, 106.65277862548828, 106.16387343406677, 104.71547937393188, 107.82104349136353, 106.60136818885803, 105.41500449180603, 106.85427141189575, 107.48554754257202, 104.96214318275452, 108.3976480960846, 105.10497879981995, 106.35161757469177, 104.2939441204071, 100.04478621482849, 105.28900051116943]",0.7774903178215027,0.6725050210952759
897.1914412975311,"[109.49528884887695, 110.70865058898926, 111.88666248321533, 114.55851888656616, 112.77999877929688, 112.9803855419159, 113.22694182395935, 111.09895300865173]",0.7774903178215027,0.7042360305786133
675.6470530033112,"[112.93899393081665, 111.84141254425049, 114.57542443275452, 110.57765436172485, 113.47481942176819, 111.86059427261353]",0.7774903178215027,0.7015905380249023
999.6120309829712,"[110.89690852165222, 111.14397859573364, 109.72909784317017, 112.56683993339539, 110.13799834251404, 110.81586003303528, 111.74065399169922, 110.62196516990662, 111.23631978034973]",0.7943078875541687,0.6199750900268555
2831.958285331726,"[115.79189658164978, 111.65303754806519, 114.62243294715881, 112.56908178329468, 112.63199424743652, 116.6633505821228, 113.80239415168762, 113.44626569747925, 114.2896499633789, 113.03072547912598, 113.79351115226746, 110.26061940193176, 112.76902461051941, 113.53811383247375, 115.27114772796631, 113.58565473556519, 113.06857109069824, 111.91822600364685, 113.05457496643066, 112.558185338974, 112.14409494400024, 110.7976131439209, 114.67036724090576, 112.2977843284607, 112.9796028137207]",0.8503665328025818,0.4669061005115509
1723.7322895526886,"[112.96958184242249, 115.38026833534241, 116.64909863471985, 115.27846002578735, 114.40516424179077, 116.87087559700012, 114.89378452301025, 114.78740382194519, 111.2868423461914, 114.47479248046875, 116.3581907749176, 116.26031136512756, 113.60515785217285, 115.08639478683472, 114.72849202156067]",0.8169469833374023,0.5480040311813354
